55frRG	{0} retries
2lDWPO	This application could not be found. It may have been removed from the marketplace catalog.
dT2Ibb	This application has already been claimed by a workspace.
vZhnyV	This application has already been claimed.
LqhE3c	This connection does not exist or is not available for this application.
fp6HUI	This role is shared with other users or agents and cannot be edited here.
PJ4qQa	This will disconnect {connectionLabel} from this application.
soVdWA	Timeline activity type
YZJ+T0	Timeline activity types
SrWh42	Tool created
i5A3/7	Tool deleted
sFMBP5	Topics
BxecEJ	Track AI consumption across your workspace.
n0iUzM	Turn
qsUXL3	Turn Details
fFSDTy	Turn evaluated successfully
8680YN	Turn not found
NCGTnP	Turn Not Found
pNo8xt	Twenty fills each level with the best model that meets your requirements
YIjS4q	Twitter/X Search
sd9apq	Universal identifier
Te2H8x	Unnamed API Key
SMaFdc	Unsubscribe
fOBEjB	Unsubscribe page
yxuCkO	Unsubscribers
jxRjAG	Untitled topic
UtDm3q	URL copied to clipboard
5ZehS/	Use filter to see existing skills or create your own
cVOIgV	Use filter to see existing tools or create your own
zw/lpB	User Context
J5T9NW	User Information
kl33NM	Vetted only
nK72s8	View all evaluations
Rxoy7e	We are currently encountering issues with this app, its behavior may be degraded while we work on a fix.
icGmU/	We could not reach the package registry to verify the package provenance. Please try again in a few minutes.
cE4SvC	What this API can do: Select a user role to define its permissions.
leUubq	When the key will be disabled
AHXN2z	Widget
aFWU1n	Width
PHF7zj	Workspace shared
7QXVrh	Write a description for this agent
MuS9Gh	You are editing the {currentLanguageLabel} translation. Renaming instead changes the source label, for every language.
gUv6/H	Your GitHub account does not own the organization that publishes this package. If you are an owner, grant this app access to the organization on GitHub's authorization screen (Organization access section).
